zone_id,zone_num,zone,datetime,gpm,gallons,runtime,note,std_z-score,outlier_std,mad_z-score,outlier_mad
8865476,1,Drip upper planters area behind shed,2025-07-01 02:01:00+00:00,4.178571428571429,117,28,Run time: 28 minutes,0.8164965809277288,False,2.0,False
8936631,2,Drip northside property line pool street side/ future behind pool,2025-07-01 02:30:01+00:00,3.6,36,10,Run time: 10 minutes,-0.384132868845375,False,0.0,False
8936985,3,Pool drip / North,2025-07-01 02:40:59+00:00,2.8,56,20,Run time: 20 minutes,-0.7272072396208991,False,-1.0,False
8937002,4,Pool Drip house side,2025-07-01 03:02:00+00:00,6.0,120,20,Run time: 20 minutes,-0.1571194462062954,False,0.0,False
8937129,5,Lawn top to driveway South / front street drip,2025-07-01 03:23:02+00:00,5.428571428571429,152,28,Run time: 28 minutes,-1.5310708939143922,False,-1.7499999999999811,False
8937132,6,Lawn front yard North half / Inside street side,2025-07-01 03:51:59+00:00,7.428571428571429,208,28,Run time: 28 minutes,0.3535533905932654,False,0.0,False
8937135,7,House Garage Side,2025-07-01 04:21:01+00:00,4.785714285714286,134,28,Run time: 28 minutes,-0.3535533905932798,False,-1.0,False
8937139,8,drip house south side / South Driveway,2025-07-01 04:49:59+00:00,7.464285714285714,209,28,Run time: 28 minutes,-0.8652017940843157,False,-1.0,False
8937140,9,Hut lawn 3  spray heads,2025-07-01 05:19:01+00:00,2.65,53,20,Run time: 20 minutes,-0.038096965887986,False,0.0,False
8936631,2,Drip northside property line pool street side/ future behind pool,2025-07-03 05:00:01+00:00,3.6,36,10,Run time: 10 minutes,-0.384132868845375,False,0.0,False
8937140,9,Hut lawn 3  spray heads,2025-07-03 05:11:01+00:00,2.7,27,10,Run time: 10 minutes,1.4476847037429683,False,3.000000000000026,False
8936631,2,Drip northside property line pool street side/ future behind pool,2025-06-05 05:00:00+00:00,3.6,36,10,Run time: 10 minutes,-0.384132868845375,False,0.0,False
8937140,9,Hut lawn 3  spray heads,2025-06-05 05:11:02+00:00,2.6,26,10,Run time: 10 minutes,-1.5238786355189275,False,-3.0,False
8865476,1,Drip upper planters area behind shed,2025-06-07 02:01:02+00:00,4.142857142857143,87,21,Run time: 21 minutes,-0.4082482904638644,False,0.0,False
8936631,2,Drip northside property line pool street side/ future behind pool,2025-06-07 02:23:02+00:00,3.5833333333333335,43,12,Run time: 12 minutes,-0.3986102382742208,False,-1.0,False
8936985,3,Pool drip / North,2025-06-07 02:36:00+00:00,3.066666666666667,46,15,Run time: 15 minutes,1.2532720512615485,False,2.9999999999999933,False
8937002,4,Pool Drip house side,2025-06-07 02:52:02+00:00,5.933333333333334,89,15,Run time: 15 minutes,-1.8330602057402023,False,0.0,False
8937129,5,Lawn top to driveway South / front street drip,2025-06-07 03:08:02+00:00,5.523809523809524,116,21,Run time: 21 minutes,1.1172679496131996,False,2.2500000000000187,False
8937132,6,Lawn front yard North half / Inside street side,2025-06-07 03:30:00+00:00,7.428571428571429,156,21,Run time: 21 minutes,0.3535533905932654,False,0.0,False
8937135,7,House Garage Side,2025-06-07 03:52:03+00:00,4.809523809523809,101,21,Run time: 21 minutes,0.7778174593051986,False,1.0,False
8937139,8,drip house south side / South Driveway,2025-06-07 04:14:01+00:00,7.476190476190476,157,21,Run time: 21 minutes,-0.4037608372393542,False,0.0,False
8937140,9,Hut lawn 3  spray heads,2025-06-07 04:36:01+00:00,2.6666666666666665,40,15,Run time: 15 minutes,0.4571635906556611,False,1.0,False
9269772,10,pool refill / blue cable,2025-06-08 01:58:31+00:00,8.766666666666667,263,30,Run time: 30 minutes,-1.1338934190277083,False,-4.000000000000213,False
8865476,1,Drip upper planters area behind shed,2025-06-10 02:01:01+00:00,4.107142857142857,115,28,Run time: 28 minutes,-1.632993161855488,False,-2.0000000000000497,False
8936631,2,Drip northside property line pool street side/ future behind pool,2025-06-10 02:30:00+00:00,3.6,36,10,Run time: 10 minutes,-0.384132868845375,False,0.0,False
